29,01001,MA,42.070200,-72.622700
29,01002,MA,42.367100,-72.464600
29,01003,MA,42.391900,-72.524800
29,01004,MA,42.384500,-72.513200
29,01005,MA,42.409700,-72.108400
29,01007,MA,42.275100,-72.411000
29,01008,MA,42.182900,-72.936100
29,01009,MA,42.206100,-72.340500
29,01010,MA,42.116500,-72.188500
29,01011,MA,42.279400,-72.988800
29,01012,MA,42.392300,-72.825600
29,01013,MA,42.148700,-72.607900
29,01014,MA,42.170700,-72.604800
29,01020,MA,42.176400,-72.576100
29,01021,MA,42.170700,-72.604800
29,01022,MA,42.193400,-72.554400
29,01026,MA,42.463300,-72.920200
29,01027,MA,42.266800,-72.669000
29,01028,MA,42.067200,-72.505600
29,01029,MA,42.190900,-73.051700
29,01030,MA,42.071800,-72.675100
29,01031,MA,42.332200,-72.198600
29,01032,MA,42.440400,-72.799500
29,01033,MA,42.255700,-72.520000
29,01034,MA,42.112700,-72.952000
29,01035,MA,42.360600,-72.571500
29,01036,MA,42.064800,-72.431800
29,01037,MA,42.347900,-72.225300
29,01038,MA,42.384400,-72.616700
29,01039,MA,42.381800,-72.703200
29,01040,MA,42.202000,-72.626200
29,01041,MA,42.204300,-72.616200
29,01050,MA,42.265300,-72.873300
29,01053,MA,42.354300,-72.703400
29,01054,MA,42.468200,-72.499300
29,01056,MA,42.172800,-72.471000
29,01057,MA,42.101000,-72.319600
29,01059,MA,42.410400,-72.530900
29,01060,MA,42.322300,-72.631300
29,01061,MA,42.369600,-72.636000
29,01062,MA,42.321900,-72.692800
29,01063,MA,42.317900,-72.640200
29,01066,MA,42.406700,-72.633900
29,01068,MA,42.348000,-72.051300
29,01069,MA,42.176200,-72.328800
29,01070,MA,42.514400,-72.918300
29,01071,MA,42.147100,-72.840300
29,01072,MA,42.482000,-72.421300
29,01073,MA,42.224700,-72.719400
29,01074,MA,42.385400,-72.095400
29,01075,MA,42.237500,-72.581100
29,01077,MA,42.051100,-72.770600
29,01079,MA,42.192900,-72.329600
29,01080,MA,42.181900,-72.362400
29,01081,MA,42.062700,-72.204600
29,01082,MA,42.261800,-72.258300
29,01083,MA,42.204000,-72.199400
29,01084,MA,42.390300,-72.870900
29,01085,MA,42.125100,-72.749500
29,01086,MA,42.173400,-72.848000
29,01088,MA,42.390600,-72.646900
29,01089,MA,42.115100,-72.641100
29,01090,MA,42.170700,-72.604800
29,01092,MA,42.202900,-72.229000
29,01093,MA,42.442700,-72.652500
29,01094,MA,42.358200,-72.140800
29,01095,MA,42.124500,-72.446400
29,01096,MA,42.408500,-72.778000
29,01097,MA,42.164000,-72.829500
29,01098,MA,42.384300,-72.931400
29,01101,MA,42.101500,-72.589800
29,01102,MA,42.170700,-72.604800
29,01103,MA,42.102900,-72.588700
29,01104,MA,42.128800,-72.577800
29,01105,MA,42.099900,-72.578300
29,01106,MA,42.050700,-72.567600
29,01107,MA,42.117900,-72.606500
29,01108,MA,42.085300,-72.558400
29,01109,MA,42.114500,-72.554300
29,01111,MA,42.170700,-72.604800
29,01115,MA,42.102900,-72.591600
29,01116,MA,42.170700,-72.604800
29,01118,MA,42.092900,-72.527400
29,01119,MA,42.124700,-72.512100
29,01128,MA,42.094400,-72.488900
29,01129,MA,42.122300,-72.487600
29,01138,MA,42.170700,-72.604800
29,01139,MA,42.170700,-72.604800
29,01144,MA,42.101800,-72.591500
29,01151,MA,42.153200,-72.505000
29,01152,MA,42.170700,-72.604800
29,01199,MA,42.119900,-72.605000
29,01201,MA,42.453100,-73.247100
29,01202,MA,42.392900,-73.228500
29,01203,MA,42.392900,-73.228500
29,01220,MA,42.622300,-73.117200
29,01222,MA,42.059600,-73.320200
29,01223,MA,42.359400,-73.120300
29,01224,MA,42.512600,-73.192900
29,01225,MA,42.561100,-73.158000
29,01226,MA,42.475000,-73.160300
29,01227,MA,42.473700,-73.166200
29,01229,MA,42.279300,-73.343500
29,01230,MA,42.195900,-73.360700
29,01235,MA,42.429800,-73.072400
29,01236,MA,42.265300,-73.374500
29,01237,MA,42.517300,-73.228200
29,01238,MA,42.299000,-73.231700
29,01240,MA,42.364200,-73.271300
29,01242,MA,42.338600,-73.250900
29,01243,MA,42.356100,-73.010400
